1,8,245.04,158.27,29.06,29.97,1,-1,-1,-1
1,7,420.40,161.04,38.91,24.06,1,-1,-1,-1
1,6,455.70,168.32,45.24,27.02,1,-1,-1,-1
1,5,145.22,191.99,59.25,41.19,1,-1,-1,-1
1,4,366.02,203.73,74.23,44.39,1,-1,-1,-1
1,3,353.80,222.25,75.74,61.30,1,-1,-1,-1
1,2,495.35,226.48,55.70,60.09,1,-1,-1,-1
1,1,519.20,237.92,85.42,67.00,1,-1,-1,-1
2,7,420.11,160.32,43.20,26.05,1,-1,-1,-1
2,6,458.45,171.57,42.96,25.50,1,-1,-1,-1
2,5,146.53,190.96,59.79,40.99,1,-1,-1,-1
2,4,364.40,204.21,75.45,43.84,1,-1,-1,-1
2,3,353.46,225.30,76.37,60.59,1,-1,-1,-1
2,2,496.26,227.30,58.57,61.38,1,-1,-1,-1
2,1,520.50,237.33,85.17,69.44,1,-1,-1,-1
3,9,503.34,194.29,46.71,28.46,1,-1,-1,-1
3,7,419.56,161.43,42.28,25.85,1,-1,-1,-1
3,6,460.08,172.81,43.16,25.58,1,-1,-1,-1
3,5,151.06,190.74,58.18,39.77,1,-1,-1,-1
3,4,360.83,206.11,80.04,45.36,1,-1,-1,-1
3,3,353.19,228.96,76.09,58.31,1,-1,-1,-1
3,2,495.00,229.99,56.88,60.66,1,-1,-1,-1
3,1,523.33,239.60,85.20,71.36,1,-1,-1,-1
4,7,419.09,162.04,41.18,25.81,1,-1,-1,-1
4,6,460.14,172.23,46.09,27.49,1,-1,-1,-1
4,5,153.45,189.78,59.22,40.61,1,-1,-1,-1
4,4,358.78,206.63,81.94,46.36,1,-1,-1,-1
4,3,352.59,228.60,78.64,60.66,1,-1,-1,-1
4,2,494.62,232.35,56.15,60.71,1,-1,-1,-1
4,1,524.31,242.43,83.02,71.14,1,-1,-1,-1
5,7,419.53,164.97,40.13,24.94,1,-1,-1,-1
5,6,460.95,171.22,48.48,29.11,1,-1,-1,-1
5,5,155.84,189.00,58.98,40.62,1,-1,-1,-1
5,4,357.31,207.38,83.20,46.92,1,-1,-1,-1
5,3,352.71,229.72,80.10,61.75,1,-1,-1,-1
5,2,495.99,234.48,57.21,61.57,1,-1,-1,-1
5,1,524.54,245.92,83.28,71.12,1,-1,-1,-1
6,9,501.97,193.04,50.11,33.20,1,-1,-1,-1
6,7,419.34,166.28,39.28,24.57,1,-1,-1,-1
6,6,461.51,170.45,49.72,30.64,1,-1,-1,-1
6,5,157.62,187.66,59.04,40.93,1,-1,-1,-1
6,4,353.28,212.80,88.01,51.68,1,-1,-1,-1
